episode,film,character,line
1,The Phantom Menace,RIC OLIE,Enemy fighters straight ahead!
1,The Phantom Menace,JAR,JAR’s clumsiness works for him in the battle. He gets caught up
1,The Phantom Menace,GON,and the DARK LORD. When the wall between QUI-GON and
1,The Phantom Menace,DROIDS,in one process. OOM-9 decides to send in the WHEEL
1,The Phantom Menace,DROIDS,and gives the signal. HUNDREDS OF WHEEL DROIDS roll
1,The Phantom Menace,DROIDS,with energy balls. The DESTROYER DROIDS blast many
1,The Phantom Menace,INT. NABOO STARFIGHTER,– COCKPIT – SPACE
1,The Phantom Menace,ANAKIN,The Autopilot is searching for what other ships?
1,The Phantom Menace,ARTOO,beeps and whistles.
1,The Phantom Menace,ANAKIN,"(Cont’d) There is no manual override, Artoo. You’ll have to"
1,The Phantom Menace,ARTOO,chirps that he’s trying.
1,The Phantom Menace,ANAKIN,(cont’d) Look! There they are! That’s where the autopilot is
1,The Phantom Menace,INT. THEED,– CENTRAL HANGER – DAY
1,The Phantom Menace,ANAKIN,(Cont’d) Oops… shield up! Always on the right… shields
1,The Phantom Menace,INT. THEED,– PALACE – HALLWAY – DAY
1,The Phantom Menace,PADME,"We don’t have time for this, Captain."
1,The Phantom Menace,CAPT. PANAKA,Let’s try the outside stairway.
1,The Phantom Menace,SOLDIERS,are lined up along the edge. They have pulled small
1,The Phantom Menace,JAR JAR,tries to run from the BATTLE DROIDS.
1,The Phantom Menace,GENERAL CEEL,Retreat! Retreat!
1,The Phantom Menace,INT. NABOO STARFIGHTER,– COCKPIT -SPACE
1,The Phantom Menace,ANAKIN,finds himself in the middle of the space battle. A ship
1,The Phantom Menace,ANAKIN,"Whoo, boy! This is tense!"
1,The Phantom Menace,ANAKN,"(Cont’d) Oops! Artoo, get us off Autopilot!"
1,The Phantom Menace,ARTOO,screams a reply.
1,The Phantom Menace,ANAKIN,(Cont’d) I’ve got control?
1,The Phantom Menace,ANAKIN,flips switches.
1,The Phantom Menace,ANAKIN,"(Cont’d) Okay, let’s go left!"
1,The Phantom Menace,ANAKIN,"(Cont’d) Yes… I’ve got control. You did it, Artoo!"
1,The Phantom Menace,ARTOO,beeps
1,The Phantom Menace,ANAKIN,(Cont’d) Go back!?! Qui-Gon told me to stay in this cockpit
1,The Phantom Menace,ANAKIN,(Cont’d) Oops! Whoa!
1,The Phantom Menace,ANAKIN,"(Cont’d) I’ll try spinning, that’s a good trick."
1,The Phantom Menace,ANAKIN,rolls the ship as ARTOO screams desperately.
1,The Phantom Menace,ANAKIN,(Cont’d) I know we’re in trouble! Hang on! The way out of
1,The Phantom Menace,ARTOO,beeps a reply.
1,The Phantom Menace,ANAKIN,(Cont’d) Which one? This one?
1,The Phantom Menace,ANAKIN,yanks on the reverse thrusters and the ship slows instantly-
1,The Phantom Menace,ANAKIN,Yes… we have ignition.
1,The Phantom Menace,INT. NABOO STARFIGHTER,– COCKPIT – SPACE
1,The Phantom Menace,EXT. THEED,– PALACE – OVER WATERFALL – DAY
1,The Phantom Menace,CAPTAIN PANAKA,"blasts a hole in the window, and they make their"
1,The Phantom Menace,BRAVO TWO,"Roger, Bravo Leader."
1,The Phantom Menace,ANAKIN I,"know, Artoo! This isn’t Podracing!"
1,The Phantom Menace,RIC OLIE,Their deflector shield is too strong. We’ll never get through
1,The Phantom Menace,ARTOO,screams.
1,The Phantom Menace,ANAKIN,regains control as his ship enters the space station hanger.
1,The Phantom Menace,ANAKIN,(Cont’d) Great gobs of bantha poo-doo!
1,The Phantom Menace,ANAKIN,(Cont’d) I’m trying to stop! I’m trying to stop! Whoa!
1,The Phantom Menace,ANAKIN,hits the reverse thrusters and the ship skids to a stop on the
1,The Phantom Menace,ANAKIN,(Cont’d) All right! All right! Get the system started!
1,The Phantom Menace,ANAKIN,ducks down to adjust a control panel.
1,The Phantom Menace,ANAKIN,(Cont’d) Everything’s overheated. All the lights are red.
1,The Phantom Menace,ARTOO,"sees DROIDS approaching, and beeps frantically."
1,The Phantom Menace,INT. THEED,– POWER GENERATOR PIT – DAY
1,The Phantom Menace,EXT. NABOO GRASS PALINS,– DAY
1,The Phantom Menace,INT. THEED,– POWER GENERATOR ELECRIC BEAM –
1,The Phantom Menace,PADME,Throw down your weapons. They win this round.
1,The Phantom Menace,CAPT. PANAKA,But we can’t…
1,The Phantom Menace,PADME,"Captain, I said throw down your weapons."
1,The Phantom Menace,CAPTAIN PANAKA,and HIS MEN throw down their weapons.
1,The Phantom Menace,EXT. NABOO GRASS PLAINS,– DAY
1,The Phantom Menace,A DESTROYER DROID,"blasts one of the shield generators, causing"
1,The Phantom Menace,OOM-9,sees the shield weaken and orders his tanks forward. The
1,The Phantom Menace,GUNGAN GENERAL,signals a retreat as the tanks enter the battle.
1,The Phantom Menace,KAADU,and lands on one of the tank guns. A GUNGAN WARRIOR
1,The Phantom Menace,GUNGAN WARRIOR. EXPLOSIONS,from the tank fire are
1,The Phantom Menace,INT. THEED,– POWER GENERATOR ELECTRIC BEAM –
1,The Phantom Menace,INT. THEED,– PALACE – HALLWAY TO THRONE ROOM
1,The Phantom Menace,ANAKIN,"hides behind one of the Naboo fighters, ducking as large"
1,The Phantom Menace,RIC OLIE,Bravo flight… go for the central bridge.
1,The Phantom Menace,EXT. NABOO GRASS PLAINS,– DAY
1,The Phantom Menace,JAR JAR,"Dissa bad, berry bombad."
1,The Phantom Menace,GENERAL CEEL,Mesa hopen dissa working for da Queen.
1,The Phantom Menace,INT. THED,– PALACE THRONE ROOM – DAY
1,The Phantom Menace,FOUR NEIMOIDIAN COUNCIL,MEMBERS.
1,The Phantom Menace,NUTE,"Your little insurrection is at an end, Your Highness. Time for"
1,The Phantom Menace,SADBE,dressed like the Queen appears in the doorway with
1,The Phantom Menace,SEVERAL TROOPS.,Several destroyed battle droids can be seen in
1,The Phantom Menace,SABE I,"will not be signing any treaty, Viceroy, because you’ve lost!"
1,The Phantom Menace,NUTE,and THE OTHERS are stunned to see a SECOND QUEEN.
1,The Phantom Menace,NUTE,yells at the TEN GUARDS in the room.
1,The Phantom Menace,NUTE,After her! This one is a decoy!
1,The Phantom Menace,SIX OF THE DROIDS,rush out of the throne room after SABE. NUTE
1,The Phantom Menace,NUTE,(Cont’d) Your Queen will not get away with this.
1,The Phantom Menace,PADME,slumps down on her throne and immediately hits a security
1,The Phantom Menace,PADME,"grabs two pistols, tosses one of the to CAPTAIN PANAKA"
1,The Phantom Menace,PADME,"Now, Viceroy, this is the end of your occupation here."
1,The Phantom Menace,NUTE,Don’t be absurd. There are too few of you. It won’t be long
1,The Phantom Menace,INT. THEED,– POWER GENERATOR – MELTING PIT
1,The Phantom Menace,OBI-WAN,"screams as the pulsing electron gate opens, and the SITH"
1,The Phantom Menace,LORD,attacks him. The DARK LORD is relentless in his assault on
1,The Phantom Menace,WAN,"off guard, and the JEDI slips into a melting pit. He is barely able"
1,The Phantom Menace,OBI-WAN,Master! Master!
1,The Phantom Menace,QUI-GON,It is too late… It’s…
1,The Phantom Menace,OBI-WAN,No!
1,The Phantom Menace,TEY HOW,"Sir, we’re losing power… There is some problem with the"
1,The Phantom Menace,QUI-GON,Obi-Wan promise… promise me you’ll train the boy…
1,The Phantom Menace,QUI-GON,He is the chosen one… he will… bring balance… train him!
1,The Phantom Menace,ANAKIN,peeks over the edge of the cockpit to see BATTLE DROIDS
1,The Phantom Menace,INT. NABOO STARFIGHTER,– COCKPIT – FEDERATION
1,The Phantom Menace,DARTH MAUL,"opens, QUI-GON is in a split second fighting the"
1,The Phantom Menace,ANAKIN,Uh oh. This is not good.
1,The Phantom Menace,ANAKIN,"(Cont’d) The systems are still overheated, Artoo."
1,The Phantom Menace,BATTLE DROID CAPTAIN,Where’s your pilot?
1,The Phantom Menace,ARTOO,beeps a reply.
1,The Phantom Menace,BATTLE DROID CAPTAIN,(Cont’d) You’re the pilot?
1,The Phantom Menace,ARTOO,whistles.
1,The Phantom Menace,BATTLE DROID CAPTAIN,(Cont’d) Let me see your identification!
1,The Phantom Menace,ANAKIN,sees the dashboard lights go from red to green.
1,The Phantom Menace,BATTLE DROID CAPTAIN,(seeing Anakin) You! Come out of there
1,The Phantom Menace,DARK LORD,with a ferocity not seen before. They move into the area
1,The Phantom Menace,ANAKIN,Not if I can help it! Shields up!
1,The Phantom Menace,BATTLE DROID CAPTAIN.,"The OTHER DROIDS shoot, but the"
1,The Phantom Menace,ANAKIN,(Cont’d) This should stop them.
1,The Phantom Menace,ANAKIN,fires lasers as the ship begins to rotate.
1,The Phantom Menace,ANAKIN,(Cont’d) … and take this!
1,The Phantom Menace,ANAKIN,(Cont’d) Darn… I missed!
1,The Phantom Menace,ANAKIN,(Cont’d) Let’s get out of here!
1,The Phantom Menace,ANAKIN,"(Cont’d) Now, this is Podracing! Whoopee!"
1,The Phantom Menace,INT. FEDERATION BATTLESHIP,– BRIDGE
1,The Phantom Menace,TEY HOW,turns to CAPTAIN DOFINE.
1,The Phantom Menace,OBI-WAN,"Yes, Master…"
1,The Phantom Menace,DOFINE,Impossible!! I don’t…
1,The Phantom Menace,ANAKIN,"flips a switch and the ship levitates, knocking over the"
1,The Phantom Menace,PALPATINE,It’s good to be home. Your boldness has saved our
1,The Phantom Menace,BRAVO TWO,What’s that?? It’s blowing up from the inside.
1,The Phantom Menace,RIC OLIE I,"don’t know, we didn’t hit it."
1,The Phantom Menace,BRAVO THREE,Look! One of ours! Outta the main hold!!
1,The Phantom Menace,EXT. NABOO GRASS PLAINS,– DAY
1,The Phantom Menace,FROZEN DROIDS. JAR JAR,"pushes one of the BATTLE DROIDS,"
1,The Phantom Menace,JAR JAR,Wierdind…
1,The Phantom Menace,EXT. THEED,– CENTRAL HANGER – DAY
1,The Phantom Menace,ANAKIN,and ARTOO follow the squad of yellow Naboo starfighters
1,The Phantom Menace,INT. THEED,– CENTRAL HANGER – DAY
1,The Phantom Menace,RIC OLIE,and the OTHER PILOTS gather around as they exit their
1,The Phantom Menace,BRAVO TWO,"He flew into the hold, behind the deflector shield and"
1,The Phantom Menace,BRAVO THREE,Amazing… They don’t teach that in the academy.
1,The Phantom Menace,RIC,"OLIE, BRAVO TWO, the OTHER PILOTS, and GROUND CREW"
1,The Phantom Menace,RIC OLIE,We’re all accounted for. Who flew that ship?
1,The Phantom Menace,ANAKIN,"I’m not going to get into trouble, am I?"
1,The Phantom Menace,ARTOO,beeps. oh. oh.
1,The Phantom Menace,INT. MAIN HANGER,– COURTYARD – DAY
1,The Phantom Menace,TROOPS,"guard NUTE GUNRAY and RUNE HAAKO. OBI-WAN, the"
1,The Phantom Menace,PADME,"Now, Viceroy, you are going to have to go back to the"
1,The Phantom Menace,CAPT. PANAKA I,think you can kiss your Trade franchise goodbye.
1,The Phantom Menace,GUARDS,"descend the walkway, followed by YODA and SEVERAL"
1,The Phantom Menace,INT. NABOO FIGHTER,– COCKPIT – SPACE
1,The Phantom Menace,PANAKA,lead the VICEROY and HIS ASSISTANT toward the ship.
1,The Phantom Menace,OTHER JEDI MASTERS.,The CHANCELLOR PALPATINE is
1,The Phantom Menace,RIC OLIE,watches in amazement as the Federation battleship starts
1,The Phantom Menace,ANAKIN,sheepishly opens the cockpit and stands up. All the PILOTS
1,The Phantom Menace,OBI-WAN,greets YODA and the OTHER JEDI as CAPTAIN PANAKA
1,The Phantom Menace,YODA,"Confer on you, the level of Jedi Knight the Council does. But"
1,The Phantom Menace,OBI-WAN,Qui-Gon believed in him. I believe in Qui-Gon.
1,The Phantom Menace,AMIDALA,"Congratulations on your election, Chancellor. It is so good"
1,The Phantom Menace,YODA,"The Chosen One the boy may be; nevertheless, grave danger"
1,The Phantom Menace,OBI-WAN,"Master Yoda, I gave Qui-Gon my word. I will train Anakin."
1,The Phantom Menace,YODA,"Qui-Gon’s defiance I sense in you. Need that, you do not."
1,The Phantom Menace,EXT. THEED,– CENTRAL PLAZA – FUNERAL TEMPLE STEPS –
1,The Phantom Menace,ABOUT ONE HUNDRED NABOO,"TROOPES, TWENTY OTHER"
1,The Phantom Menace,BOSS,"NASS, and TWENTY OTHER GUNGAN WARRIORS watch."
1,The Phantom Menace,OBI-WAN,"He is one with the Force, Anakin… You must let go."
1,The Phantom Menace,ANAKIN,What will happen to me now?
1,The Phantom Menace,OBI-WAN I,"am your Master now. You will become a Jedi, I promise."
1,The Phantom Menace,INT. TURRET ROOM,– NABOO PALACE – LATE DAY
1,The Phantom Menace,MACE WINDU,There is no doubt. The mysterious warrior was a Sith.
1,The Phantom Menace,JAR JAR,and GENERAL CEEL. The GUNGANS ride KAADU. They
1,The Phantom Menace,COUNCIL. ARTOO,stands in front of the QUEEN’S HANDMAIDENS
1,The Phantom Menace,SOLDIERS.,The CROWDS CHEER. It is a grand parade. QUEEN
1,The Phantom Menace,CHILDEREN SING,and throw flowers on the passing GUNGAN
1,The Phantom Menace,AMIDALA,stands next to the SUPREME CHANCELLOR
1,The Phantom Menace,EXT. THEED,– CENTRAL PLAZA – DAY
1,The Phantom Menace,MACE WINDU,"But which one was destroyed, the master or the"
1,The Phantom Menace,YODA,Always two there are… no more… no less. A master and an
1,The Phantom Menace,IRIS,OUT
1,The Phantom Menace,BOSS NASS,holds up the Globe of Peace. EVERYONE CHEERS.
2,Attack of the Clones,CHANCELLOR PALPATINE,sits behind his desk with TWO RED-
2,Attack of the Clones,PALPATINE,"confers with an AIDE, UV GIZEN, riding a small one"
2,Attack of the Clones,PAN UP,to reveal the amber city planet of Coruscant. A yellow Naboo
2,Attack of the Clones,CAPTAIN,TYPHO
2,Attack of the Clones,FLASH,and a huge EXPLOSION. The DIGNITARIES and PILOTS
2,Attack of the Clones,ESCORT PILOTS,get up and run to where SENATOR AMIDALA lies
2,Attack of the Clones,SENATOR,PADMÉ AMIDALA.
2,Attack of the Clones,AMBASSADOR OF GLEE,ANSELM.
2,Attack of the Clones,OBI-WAN,"and becomes extremely excited, jumping around, shaking"
2,Attack of the Clones,CHANCELLOR PALPATINE,steps to the podium.
2,Attack of the Clones,AMIDALA,looks angry and frustrated. PALPATINE gives her a
2,Attack of the Clones,SENATOR ORN FREE TAA,swings forward in his pod.
2,Attack of the Clones,ORN FREE,TAA
2,Attack of the Clones,JAR,"and DORMÉ, maneuvers her pod into the center of the vast"
2,Attack of the Clones,JANGO,FETT
2,Attack of the Clones,ORN MEE,TAA
2,Attack of the Clones,MAS,AMEDDA
2,Attack of the Clones,FREE TAA,moves his pod next to AMIDWA.
2,Attack of the Clones,PALPATINE,"nods to MACE WINDU, who nods back."
2,Attack of the Clones,ADI,"MUNDI,"
2,Attack of the Clones,MAS,"AMEDDA, DORMÉ, and THREE SENATORS (BAIL ORGANA,"
2,Attack of the Clones,LUMINARA,"UNDULI, and HOROX RYYDER) enter the office. As"
2,Attack of the Clones,ASK,AAK
2,Attack of the Clones,DAR,WAC
2,Attack of the Clones,YODA,"and MACE WINDU move to greet the SENATOR, YODA taps"
2,Attack of the Clones,AMIDALA,with his cane.
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,PALPATINE,"gets up, walks to the window, and looks out at the vast"
2,Attack of the Clones,BAIL,ORGANA
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,AMIDALA,sighs as the JEDI get up to leave.
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,YODA,leans into her ear.
2,Attack of the Clones,EVENING,9
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,CLAD ROYAL GUARDS,"on either side of the door. YODA, PLO KI-"
2,Attack of the Clones,OBI-WAN,"leans out of the speeder, then crawls out on the front"
2,Attack of the Clones,JAR JAR,notices OBI-WAN’S APPRENTICE.
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,JAR JAR,grabs hold of ANAKIN and envelops him in a big hug.
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,JAR,"enters the room, followed by the TWO JEDI."
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,SENATOR. OBI-WAN,steps forward. ANAKIN stares at PADMÉ. She
2,Attack of the Clones,OBI-WAN,looks disapprovingly at his apprentice. PADMÉ laughs and
2,Attack of the Clones,OBI-WAN,smiles.
2,Attack of the Clones,ANAKIN,is standing in the living room. He is in a meditative state. It is
2,Attack of the Clones,CAPTAIN TYPHO,smile.
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,MACE WINDU,"and YODA walk down the long hallway, silhouetted by"
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,ROOM,– NIGHT 14
2,Attack of the Clones,CAPTAIN TYPHO,leaves.
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,OBI-WAN,checks a palm-sized view scanner he has pulled out of his
2,Attack of the Clones,ARTOO,"wakes up, and his lights go on. The PROBE DROID freezes."
2,Attack of the Clones,ARTOO,"looks around, makes a PLAINTIVE LITTLE SOUND, then"
2,Attack of the Clones,ROOM,– NIGHT 16
2,Attack of the Clones,ANAKIN,and OBI-WAN continue their conversation in the main room
2,Attack of the Clones,ANAKIN,looks stunned. He looks sharply at OBI-WAN.
2,Attack of the Clones,ARTOO,sounds an alarm and shines a light on the bed. THE
2,Attack of the Clones,KOUHUNS,"are inches from PADMÉ’S face. Their mouths are open,"
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,OBI-WAN,and ANAKIN burst into the room. The KOUHUNS stand on
2,Attack of the Clones,ANAKIN,shrugs.
2,Attack of the Clones,OBI-WAN,sees the DROID outside the window and races straight at
2,Attack of the Clones,ANAKIN,and PADMÉ stare at the sight of OBI-WAN being carried off
2,Attack of the Clones,CAPTAIN,"TYPHO, with TWO GUARDS and DORMÉ, enter the room"
2,Attack of the Clones,ANAKIN,charges out of the building and runs to a line of parked
2,Attack of the Clones,FINALLY,the DROID suffers a direct hit and blows up. OBI-WAN falls
2,Attack of the Clones,ZAM WESELL,and the JEDI race through a line of cross-traffic made
2,Attack of the Clones,ANAKIN,zooms into the tunnel after ZAM. They see a tram coming at
2,Attack of the Clones,ZAN WESELL,"turns into oncoming traffic, deliberately trying to throw"
2,Attack of the Clones,JEDI.,She is now in a much better position to fire at them with her
2,Attack of the Clones,PROBE,"DROID, grabbing onto the deadly machine before it can flee."
2,Attack of the Clones,YODA,closes his eyes.
2,Attack of the Clones,ANAKIN,barges into several of them as he chases after the fleeing
2,Attack of the Clones,ZAM,"slides around a corner sideways, blocking an alley, firing point-"
2,Attack of the Clones,EXPLOSIONS,surround them. They look up and see ZAM WESELL
2,Attack of the Clones,ZAM,"goes up and down, through cross-traffic. There is a near miss"
2,Attack of the Clones,ANAKIN,"turns up a side street, zooms up several small"
2,Attack of the Clones,ANAKIN,looks around front and back. He spots something. He seems
2,Attack of the Clones,ANAKIN,jumps out of the speeder. OBI-WAN looks down and sees
2,Attack of the Clones,ZAM,"takes off, and ANAKIN slides to the back strut and almost slips"
2,Attack of the Clones,ZAM,"can’t reach him, then he scrambles to the top, holding onto an"
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,OBI-WAN,has jumped into the driver’s seat of his speeder and is
2,Attack of the Clones,ANAKIN,goes flying into the street.
2,Attack of the Clones,ZAM,exits the crashed speeder and runs. ANAKIN picks himself up of
2,Attack of the Clones,UPPERCLASS,SLUMMERS.
2,Attack of the Clones,ZAM.,"He loses the Bounty Hunter in the crowd, then sees him again."
2,Attack of the Clones,PEOPLE,"start moving out of the way, and the open speeder lands in"
2,Attack of the Clones,OBI-WAN,hands ANAKIN the lightsaber.
2,Attack of the Clones,ANAKIN,"reaches for the lightsaber, but OBI-WAN holds it back."
2,Attack of the Clones,ANAKIN,"sticks his hand into the cockpit and, using the Force, pulls"
2,Attack of the Clones,ANAKIN,works to get the speeder started. It races to life.
2,Attack of the Clones,OBI-WAN,finally holds out the lightsaber and ANAKIN grabs it.
2,Attack of the Clones,OBI-WAN,"and ANAKIN enter the nightclub bar, and everyone stares"
2,Attack of the Clones,OBT-WAN,goes away.
2,Attack of the Clones,ELIAN,SLEAZEBAGGANO
2,Attack of the Clones,OBI-WAN,looks at him. He moves his fingers slightly.
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,OBI-WAN,moves his fingers.
2,Attack of the Clones,ELIAN,SLEAZEBAGGANO
2,Attack of the Clones,ANAKIN,checks out ALIEN FACES. OBI-WAN signals for another
2,Attack of the Clones,ANAKIN,"is suddenly at OBI-WAN’s side, his lightsaber glowing."
2,Attack of the Clones,PEFORMERS,pick up their routine. OBI-WAN and ANAKIN lift ZAM
2,Attack of the Clones,ANAKIN,barely misses the BOUNTY HUNTER’S speeder as he dives
2,Attack of the Clones,OBI-WAN,and ANAKIN carry ZAN into the alley and lower her to the
2,Attack of the Clones,ZAM,glares at OBI-WAN.
2,Attack of the Clones,ZAM,WESELL
2,Attack of the Clones,ZAM,WSELL
2,Attack of the Clones,ZAM,glares hatefully.
2,Attack of the Clones,ZAM,WESELL
2,Attack of the Clones,ANAKIN,and JAR JAR stand near the door of the anteroom to
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,OBI-WAN,"heads for the bar. ANAKIN blinks in surprise, then moves"
2,Attack of the Clones,ZAM,WESELL
2,Attack of the Clones,JAR,JAR
2,Attack of the Clones,ANAKIN,looks deep into PADME’s eyes.
2,Attack of the Clones,HERMIONE,"stares at OBI-WAN. There is a brief pause, then she"
2,Attack of the Clones,TRANSPORT BUS,– DAY 28
2,Attack of the Clones,ANAKIN,"and PADMÉ, dressed in Outland peasant outfits, get up and"
2,Attack of the Clones,CAPTAIN,TYPHO
2,Attack of the Clones,OBI-WAN,and CAPTAIN TYPHO watch ANAKIN and PADMÉ
2,Attack of the Clones,CAPTAIN,TYPHO
2,Attack of the Clones,WAN,"crosses the floor of the great hallway, heading for the Analysis"
2,Attack of the Clones,JAR JAR,"bows and goes out. As he passes ANAKIN, he flashes a"
2,Attack of the Clones,OBI-WAN,walks past several glass cubicles where work is going on.
2,Attack of the Clones,TRANSPORT BUS,– DAY 27
2,Attack of the Clones,ARTOO,slips a tube into a tub of mush and sucks up a large quantity.
2,Attack of the Clones,ANAKIN,is sound asleep. The young Jedi seems to be having a
2,Attack of the Clones,ARTOO,fills up two bowls with mush.
2,Attack of the Clones,ANAKIN,"looks at PADMÉ a little more closely, trying to see if he"
2,Attack of the Clones,ANAKIN,looks into PADMÉ’s eyes.
2,Attack of the Clones,ANAKIN,looks at PADMÉ when he says this.
2,Attack of the Clones,OBI-WAN,walks down the street. It is a pretty tough part of town. Old
2,Attack of the Clones,OBI-WAN,"picks up the dart and looks at it, then looks to the DROID."
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,ARTOO,takes one last big suck and heads away from the food line.
2,Attack of the Clones,ANAKIN,slides underneath Zam’s speeder. They race along in
2,Attack of the Clones,ANAKIN,backs away as PADMÉ turns and goes back to her packing.
2,Attack of the Clones,LOOKING,"WORKES, FREIGHTER DRIVERS ETC. HERNIONE"
2,Attack of the Clones,HERMIONE,BAGWA
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,OBI-WAN,sits in a booth.
2,Attack of the Clones,HERMIONE,BAGWA
2,Attack of the Clones,HERMIONE,moves off as the door to the counter opens and
2,Attack of the Clones,DEXTER JETTSTER,"a1ppears. He is big – bald and sweaty, old and"
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,OBI-WAN,comes to a kind of alien diner. On the steamed-up
2,Attack of the Clones,DEXTER,eases himself into the seat opposite OBI-WAN. He can just
2,Attack of the Clones,OBI-WAN,places the dart on the table between them. DEX’s eyes
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,DEXTER,picks up the dart delicately between his puffy fingers and
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,DEXTER,grins. He puts the dart down between them.
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,HERMIONE,BAGWA
2,Attack of the Clones,HERMIONE,BAGWA
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,OBI-WAN,flies through the glass window and flings himself at the
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,ANAKIN,"stands in front of a SHAAK, yelling at it and waving his arms."
2,Attack of the Clones,WHISTLES.,They pick up their gear and start to cross the courtyard.
2,Attack of the Clones,ARTOO,trundles behind them.
2,Attack of the Clones,ANAKIN,and PADMÉ walk toward the palace. ARTOO continues to
2,Attack of the Clones,QUEEN JAMILLIA,"is seated on the throne, flanked by SIO BIBBLE"
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,OBI-WAN,and JOCASTA NU study the star map hologram.
2,Attack of the Clones,SIO,BIBBLE
2,Attack of the Clones,SIO,BIBBLE
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,SIO,BIBBLE
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,SIO BIBBLE,signals. All the OTHER ADVISORS and ATTENDANTS
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,MACE,WINDU
2,Attack of the Clones,DEXTER,JETTSTER
2,Attack of the Clones,DEXTER,grins.
2,Attack of the Clones,SIO,BIBBLE
2,Attack of the Clones,JOCASTA,"NU, the Jedi Archivist, is standing next to him. She is an"
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA NU,gazes at the bust.
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,SIO,BIBBLE
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA NU,"leans over OBI-WAN’s shoulder, looking at the screen."
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA NU,taps the keyboard and frowns.
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,ANAKIN,"glares at PADMÉ. Then QUEEN JAMILLIA gets up, and"
2,Attack of the Clones,SIO BIBBLE,and QUEEN JAMILLIA exchange a look. Something is
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,QUEEN,JAMILLIA
2,Attack of the Clones,JOCASTA,NU
2,Attack of the Clones,TRAINING DROIDS,with their miniature lightsabers. The DROIDS
2,Attack of the Clones,RYOO,& POOJA
2,Attack of the Clones,ANAKIN,and the GIRLS say hello shyly. Then:
2,Attack of the Clones,RYOO,& POOJA
2,Attack of the Clones,AFTERNOON,42
2,Attack of the Clones,ANAKIN,picks up another hologram. It shows PADMÉ at age ten or
2,Attack of the Clones,AFTERNOON,41
2,Attack of the Clones,SOLA,"puts the bowl down on the table, where ANAKIN, PADMÉ, and"
2,Attack of the Clones,SOLA,"sits, as JOBAL NABERRIE (Padmé’s mother) comes in with a"
2,Attack of the Clones,EVERYONE,sits and starts passing food.
2,Attack of the Clones,ANAKIN,and RUWEE are walking.
2,Attack of the Clones,AFTERNOON,44
2,Attack of the Clones,ANAKIN,and RUWEE are walking in the garden. RUWEE stops and
2,Attack of the Clones,AFTERNOON,46
2,Attack of the Clones,ANAKIN,picks up a framed hologram.
2,Attack of the Clones,RUWEE NABERRIE,(Padmé’s father) are coming-intar the room.
2,Attack of the Clones,PEOPLE,are passing through the little street. OLD MEN are sunning
